strategy,tick,S,E,I,R,V,inf_pct,r0
betweenness,1,106,8,1,0,5,0.008333333333333333,8.0
betweenness,2,102,12,1,0,5,0.008333333333333333,4.0
betweenness,3,102,4,9,0,5,0.075,0.0
betweenness,4,99,3,12,1,5,0.1,0.3333333333333333
betweenness,5,98,4,10,3,5,0.08333333333333333,0.08333333333333333
betweenness,6,93,6,11,5,5,0.09166666666666666,0.5
betweenness,7,91,7,10,7,5,0.08333333333333333,0.18181818181818182
betweenness,8,91,2,11,11,5,0.09166666666666666,0.0
betweenness,9,89,2,10,14,5,0.08333333333333333,0.18181818181818182
betweenness,10,84,7,7,17,5,0.058333333333333334,0.6
betweenness,11,81,8,9,17,5,0.075,0.42857142857142855
betweenness,12,80,4,17,14,5,0.14166666666666666,0.4444444444444444
betweenness,13,71,10,19,15,5,0.15833333333333333,0.5882352941176471
betweenness,14,62,18,21,14,5,0.175,0.5789473684210527
betweenness,15,58,13,29,15,5,0.24166666666666667,0.2857142857142857
betweenness,16,54,8,37,16,5,0.30833333333333335,0.2413793103448276
betweenness,17,46,12,37,20,5,0.30833333333333335,0.32432432432432434
betweenness,18,41,13,38,23,5,0.31666666666666665,0.1891891891891892
betweenness,19,35,11,43,26,5,0.35833333333333334,0.2631578947368421
betweenness,20,33,8,41,33,5,0.3416666666666667,0.046511627906976744
degree,1,114,0,1,0,5,0.008333333333333333,0.0
degree,2,113,1,1,0,5,0.008333333333333333,1.0
degree,3,112,2,1,0,5,0.008333333333333333,1.0
degree,4,112,1,1,1,5,0.008333333333333333,0.0
degree,5,112,0,1,2,5,0.008333333333333333,0.0
degree,6,111,1,1,2,5,0.008333333333333333,1.0
degree,7,110,2,0,3,5,0.0,1.0
random,1,113,1,1,0,5,0.008333333333333333,1.0
random,2,111,3,1,0,5,0.008333333333333333,2.0
random,3,111,2,2,0,5,0.016666666666666666,0.0
random,4,108,3,4,0,5,0.03333333333333333,1.5
random,5,104,7,3,1,5,0.025,1.0
random,6,101,7,6,1,5,0.05,1.0
random,7,89,15,9,2,5,0.075,2.1666666666666665
random,8,78,23,12,2,5,0.1,1.3333333333333333
random,9,73,16,21,5,5,0.175,0.4166666666666667
random,10,50,28,25,12,5,0.20833333333333334,1.1904761904761905
random,11,38,35,24,18,5,0.2,0.52
random,12,34,16,47,18,5,0.39166666666666666,0.3333333333333333
random,13,26,12,54,23,5,0.45,0.23404255319148937
random,14,16,18,52,29,5,0.43333333333333335,0.2222222222222222
random,15,10,16,55,34,5,0.4583333333333333,0.21153846153846154
random,16,9,7,60,39,5,0.5,0.03636363636363636
none,1,119,0,1,0,0,0.008333333333333333,0.0
none,2,117,2,0,1,0,0.0,2.0
