strategy,tick,r0
betweenness,1,8.0
betweenness,2,4.0
betweenness,3,0.0
betweenness,4,0.3333333333333333
betweenness,5,0.08333333333333333
betweenness,6,0.5
betweenness,7,0.18181818181818182
betweenness,8,0.0
betweenness,9,0.18181818181818182
betweenness,10,0.6
betweenness,11,0.42857142857142855
betweenness,12,0.4444444444444444
betweenness,13,0.5882352941176471
betweenness,14,0.5789473684210527
betweenness,15,0.2857142857142857
betweenness,16,0.2413793103448276
betweenness,17,0.32432432432432434
betweenness,18,0.1891891891891892
betweenness,19,0.2631578947368421
betweenness,20,0.046511627906976744
degree,1,0.0
degree,2,1.0
degree,3,1.0
degree,4,0.0
degree,5,0.0
degree,6,1.0
degree,7,1.0
random,1,1.0
random,2,2.0
random,3,0.0
random,4,1.5
random,5,1.0
random,6,1.0
random,7,2.1666666666666665
random,8,1.3333333333333333
random,9,0.4166666666666667
random,10,1.1904761904761905
random,11,0.52
random,12,0.3333333333333333
random,13,0.23404255319148937
random,14,0.2222222222222222
random,15,0.21153846153846154
random,16,0.03636363636363636
none,1,0.0
none,2,2.0
